*** WARNING: This is an experimental installation of pytorch built specifically for MPI / distributed running ***
 4: 2018-10-04 18:36:07,726 INFO Initializing
28: 2018-10-04 18:36:07,731 INFO Initializing
38: 2018-10-04 18:36:07,731 INFO Initializing
10: 2018-10-04 18:36:07,732 INFO Initializing
46: 2018-10-04 18:36:07,734 INFO Initializing
25: 2018-10-04 18:36:07,737 INFO Initializing
53: 2018-10-04 18:36:07,734 INFO Initializing
18: 2018-10-04 18:36:07,734 INFO Initializing
27: 2018-10-04 18:36:07,739 INFO Initializing
 6: 2018-10-04 18:36:07,739 INFO Initializing
30: 2018-10-04 18:36:07,740 INFO Initializing
32: 2018-10-04 18:36:07,741 INFO Initializing
11: 2018-10-04 18:36:07,741 INFO Initializing
35: 2018-10-04 18:36:07,743 INFO Initializing
26: 2018-10-04 18:36:07,741 INFO Initializing
13: 2018-10-04 18:36:07,741 INFO Initializing
57: 2018-10-04 18:36:07,741 INFO Initializing
21: 2018-10-04 18:36:07,743 INFO Initializing
39: 2018-10-04 18:36:07,741 INFO Initializing
54: 2018-10-04 18:36:07,742 INFO Initializing
52: 2018-10-04 18:36:07,744 INFO Initializing
24: 2018-10-04 18:36:07,743 INFO Initializing
 7: 2018-10-04 18:36:07,744 INFO Initializing
31: 2018-10-04 18:36:07,744 INFO Initializing
 5: 2018-10-04 18:36:07,745 INFO Initializing
37: 2018-10-04 18:36:07,745 INFO Initializing
29: 2018-10-04 18:36:07,745 INFO Initializing
41: 2018-10-04 18:36:07,747 INFO Initializing
 9: 2018-10-04 18:36:07,682 INFO Initializing
59: 2018-10-04 18:36:07,747 INFO Initializing
 1: 2018-10-04 18:36:07,748 INFO Initializing
36: 2018-10-04 18:36:07,749 INFO Initializing
49: 2018-10-04 18:36:07,748 INFO Initializing
62: 2018-10-04 18:36:07,748 INFO Initializing
 8: 2018-10-04 18:36:07,754 INFO Initializing
 2: 2018-10-04 18:36:07,756 INFO Initializing
22: 2018-10-04 18:36:07,758 INFO Initializing
16: 2018-10-04 18:36:07,758 INFO Initializing
56: 2018-10-04 18:36:07,754 INFO Initializing
17: 2018-10-04 18:36:07,758 INFO Initializing
19: 2018-10-04 18:36:07,758 INFO Initializing
50: 2018-10-04 18:36:07,758 INFO Initializing
44: 2018-10-04 18:36:07,758 INFO Initializing
40: 2018-10-04 18:36:07,758 INFO Initializing
48: 2018-10-04 18:36:07,759 INFO Initializing
12: 2018-10-04 18:36:07,760 INFO Initializing
34: 2018-10-04 18:36:07,761 INFO Initializing
14: 2018-10-04 18:36:07,760 INFO Initializing
20: 2018-10-04 18:36:07,761 INFO Initializing
58: 2018-10-04 18:36:07,759 INFO Initializing
47: 2018-10-04 18:36:07,763 INFO Initializing
63: 2018-10-04 18:36:07,760 INFO Initializing
 0: 2018-10-04 18:36:07,763 INFO Initializing
45: 2018-10-04 18:36:07,764 INFO Initializing
15: 2018-10-04 18:36:07,764 INFO Initializing
43: 2018-10-04 18:36:07,764 INFO Initializing
60: 2018-10-04 18:36:07,764 INFO Initializing
42: 2018-10-04 18:36:07,765 INFO Initializing
61: 2018-10-04 18:36:07,763 INFO Initializing
 3: 2018-10-04 18:36:07,766 INFO Initializing
33: 2018-10-04 18:36:07,767 INFO Initializing
55: 2018-10-04 18:36:07,766 INFO Initializing
23: 2018-10-04 18:36:07,770 INFO Initializing
51: 2018-10-04 18:36:07,768 INFO Initializing
 0: 2018-10-04 18:36:07,819 INFO MPI rank 0
32: 2018-10-04 18:36:07,819 INFO MPI rank 32
48: 2018-10-04 18:36:07,819 INFO MPI rank 48
52: 2018-10-04 18:36:07,819 INFO MPI rank 52
12: 2018-10-04 18:36:07,819 INFO MPI rank 12
50: 2018-10-04 18:36:07,819 INFO MPI rank 50
35: 2018-10-04 18:36:07,820 INFO MPI rank 35
36: 2018-10-04 18:36:07,819 INFO MPI rank 36
