*** WARNING: This is an experimental installation of pytorch built specifically for MPI / distributed running ***
110: 2018-10-08 13:55:13,543 INFO Initializing
168: 2018-10-08 13:55:13,549 INFO Initializing
146: 2018-10-08 13:55:13,551 INFO Initializing
 92: 2018-10-08 13:55:13,549 INFO Initializing
196: 2018-10-08 13:55:13,550 INFO Initializing
202: 2018-10-08 13:55:13,552 INFO Initializing
 70: 2018-10-08 13:55:13,547 INFO Initializing
142: 2018-10-08 13:55:13,555 INFO Initializing
233: 2018-10-08 13:55:13,552 INFO Initializing
186: 2018-10-08 13:55:13,556 INFO Initializing
241: 2018-10-08 13:55:13,559 INFO Initializing
222: 2018-10-08 13:55:13,554 INFO Initializing
 69: 2018-10-08 13:55:13,554 INFO Initializing
150: 2018-10-08 13:55:13,557 INFO Initializing
116: 2018-10-08 13:55:13,564 INFO Initializing
214: 2018-10-08 13:55:13,555 INFO Initializing
242: 2018-10-08 13:55:13,559 INFO Initializing
169: 2018-10-08 13:55:13,558 INFO Initializing
173: 2018-10-08 13:55:13,555 INFO Initializing
192: 2018-10-08 13:55:13,566 INFO Initializing
 18: 2018-10-08 13:55:13,554 INFO Initializing
 46: 2018-10-08 13:55:13,557 INFO Initializing
221: 2018-10-08 13:55:13,557 INFO Initializing
 97: 2018-10-08 13:55:13,557 INFO Initializing
126: 2018-10-08 13:55:13,562 INFO Initializing
 28: 2018-10-08 13:55:13,555 INFO Initializing
 23: 2018-10-08 13:55:13,555 INFO Initializing
125: 2018-10-08 13:55:13,563 INFO Initializing
201: 2018-10-08 13:55:13,561 INFO Initializing
  9: 2018-10-08 13:55:13,556 INFO Initializing
197: 2018-10-08 13:55:13,558 INFO Initializing
165: 2018-10-08 13:55:13,566 INFO Initializing
 27: 2018-10-08 13:55:13,556 INFO Initializing
136: 2018-10-08 13:55:13,563 INFO Initializing
 93: 2018-10-08 13:55:13,560 INFO Initializing
 88: 2018-10-08 13:55:13,561 INFO Initializing
 63: 2018-10-08 13:55:13,558 INFO Initializing
 22: 2018-10-08 13:55:13,557 INFO Initializing
237: 2018-10-08 13:55:13,561 INFO Initializing
 10: 2018-10-08 13:55:13,558 INFO Initializing
 98: 2018-10-08 13:55:13,560 INFO Initializing
120: 2018-10-08 13:55:13,568 INFO Initializing
121: 2018-10-08 13:55:13,564 INFO Initializing
174: 2018-10-08 13:55:13,565 INFO Initializing
246: 2018-10-08 13:55:13,568 INFO Initializing
  8: 2018-10-08 13:55:13,562 INFO Initializing
247: 2018-10-08 13:55:13,565 INFO Initializing
 65: 2018-10-08 13:55:13,559 INFO Initializing
163: 2018-10-08 13:55:13,563 INFO Initializing
220: 2018-10-08 13:55:13,565 INFO Initializing
 86: 2018-10-08 13:55:13,563 INFO Initializing
 51: 2018-10-08 13:55:13,560 INFO Initializing
 40: 2018-10-08 13:55:13,562 INFO Initializing
 44: 2018-10-08 13:55:13,562 INFO Initializing
190: 2018-10-08 13:55:13,570 INFO Initializing
 64: 2018-10-08 13:55:13,566 INFO Initializing
 91: 2018-10-08 13:55:13,570 INFO Initializing
114: 2018-10-08 13:55:13,567 INFO Initializing
140: 2018-10-08 13:55:13,573 INFO Initializing
137: 2018-10-08 13:55:13,576 INFO Initializing
119: 2018-10-08 13:55:13,569 INFO Initializing
195: 2018-10-08 13:55:13,570 INFO Initializing
234: 2018-10-08 13:55:13,570 INFO Initializing
111: 2018-10-08 13:55:13,575 INFO Initializing
145: 2018-10-08 13:55:13,576 INFO Initializing
 83: 2018-10-08 13:55:13,569 INFO Initializing
 16: 2018-10-08 13:55:13,570 INFO Initializing
 82: 2018-10-08 13:55:13,571 INFO Initializing
 58: 2018-10-08 13:55:13,570 INFO Initializing
187: 2018-10-08 13:55:13,587 INFO Initializing
215: 2018-10-08 13:55:13,570 INFO Initializing
105: 2018-10-08 13:55:13,569 INFO Initializing
 21: 2018-10-08 13:55:13,569 INFO Initializing
156: 2018-10-08 13:55:13,573 INFO Initializing
 35: 2018-10-08 13:55:13,571 INFO Initializing
240: 2018-10-08 13:55:13,578 INFO Initializing
  7: 2018-10-08 13:55:13,572 INFO Initializing
 41: 2018-10-08 13:55:13,573 INFO Initializing
181: 2018-10-08 13:55:13,580 INFO Initializing
131: 2018-10-08 13:55:13,577 INFO Initializing
209: 2018-10-08 13:55:13,575 INFO Initializing
228: 2018-10-08 13:55:13,576 INFO Initializing
 77: 2018-10-08 13:55:13,575 INFO Initializing
 11: 2018-10-08 13:55:13,580 INFO Initializing
 53: 2018-10-08 13:55:13,580 INFO Initializing
176: 2018-10-08 13:55:13,587 INFO Initializing
151: 2018-10-08 13:55:13,588 INFO Initializing
 30: 2018-10-08 13:55:13,582 INFO Initializing
249: 2018-10-08 13:55:13,581 INFO Initializing
 72: 2018-10-08 13:55:13,583 INFO Initializing
177: 2018-10-08 13:55:13,586 INFO Initializing
  1: 2018-10-08 13:55:13,584 INFO Initializing
 31: 2018-10-08 13:55:13,583 INFO Initializing
216: 2018-10-08 13:55:13,591 INFO Initializing
204: 2018-10-08 13:55:13,598 INFO Initializing
 15: 2018-10-08 13:55:13,590 INFO Initializing
188: 2018-10-08 13:55:13,600 INFO Initializing
235: 2018-10-08 13:55:13,596 INFO Initializing
  4: 2018-10-08 13:55:13,594 INFO Initializing
250: 2018-10-08 13:55:13,597 INFO Initializing
  0: 2018-10-08 13:55:13,593 INFO Initializing
138: 2018-10-08 13:55:13,604 INFO Initializing
 73: 2018-10-08 13:55:13,593 INFO Initializing
 42: 2018-10-08 13:55:13,593 INFO Initializing
161: 2018-10-08 13:55:13,605 INFO Initializing
 54: 2018-10-08 13:55:13,593 INFO Initializing
225: 2018-10-08 13:55:13,594 INFO Initializing
100: 2018-10-08 13:55:13,597 INFO Initializing
 84: 2018-10-08 13:55:13,597 INFO Initializing
112: 2018-10-08 13:55:13,597 INFO Initializing
152: 2018-10-08 13:55:13,599 INFO Initializing
205: 2018-10-08 13:55:13,598 INFO Initializing
101: 2018-10-08 13:55:13,599 INFO Initializing
230: 2018-10-08 13:55:13,600 INFO Initializing
 60: 2018-10-08 13:55:13,599 INFO Initializing
 37: 2018-10-08 13:55:13,601 INFO Initializing
254: 2018-10-08 13:55:13,603 INFO Initializing
183: 2018-10-08 13:55:13,607 INFO Initializing
158: 2018-10-08 13:55:13,610 INFO Initializing
211: 2018-10-08 13:55:13,613 INFO Initializing
107: 2018-10-08 13:55:13,615 INFO Initializing
 79: 2018-10-08 13:55:13,615 INFO Initializing
231: 2018-10-08 13:55:13,616 INFO Initializing
 80: 2018-10-08 13:55:13,615 INFO Initializing
 38: 2018-10-08 13:55:13,613 INFO Initializing
184: 2018-10-08 13:55:13,617 INFO Initializing
108: 2018-10-08 13:55:13,617 INFO Initializing
 61: 2018-10-08 13:55:13,615 INFO Initializing
133: 2018-10-08 13:55:13,622 INFO Initializing
212: 2018-10-08 13:55:13,620 INFO Initializing
134: 2018-10-08 13:55:13,622 INFO Initializing
159: 2018-10-08 13:55:13,629 INFO Initializing
199: 2018-10-08 13:55:13,628 INFO Initializing
 49: 2018-10-08 13:55:13,623 INFO Initializing
244: 2018-10-08 13:55:13,637 INFO Initializing
 25: 2018-10-08 13:55:13,629 INFO Initializing
 95: 2018-10-08 13:55:13,632 INFO Initializing
122: 2018-10-08 13:55:13,633 INFO Initializing
123: 2018-10-08 13:55:13,639 INFO Initializing
 67: 2018-10-08 13:55:13,634 INFO Initializing
223: 2018-10-08 13:55:13,632 INFO Initializing
 94: 2018-10-08 13:55:13,633 INFO Initializing
 24: 2018-10-08 13:55:13,631 INFO Initializing
243: 2018-10-08 13:55:13,635 INFO Initializing
198: 2018-10-08 13:55:13,635 INFO Initializing
147: 2018-10-08 13:55:13,643 INFO Initializing
171: 2018-10-08 13:55:13,639 INFO Initializing
170: 2018-10-08 13:55:13,633 INFO Initializing
 66: 2018-10-08 13:55:13,634 INFO Initializing
148: 2018-10-08 13:55:13,641 INFO Initializing
224: 2018-10-08 13:55:13,639 INFO Initializing
  5: 2018-10-08 13:55:13,640 INFO Initializing
 85: 2018-10-08 13:55:13,641 INFO Initializing
189: 2018-10-08 13:55:13,648 INFO Initializing
236: 2018-10-08 13:55:13,647 INFO Initializing
 43: 2018-10-08 13:55:13,643 INFO Initializing
162: 2018-10-08 13:55:13,645 INFO Initializing
113: 2018-10-08 13:55:13,644 INFO Initializing
139: 2018-10-08 13:55:13,647 INFO Initializing
167: 2018-10-08 13:55:13,657 INFO Initializing
 48: 2018-10-08 13:55:13,658 INFO Initializing
239: 2018-10-08 13:55:13,658 INFO Initializing
118: 2018-10-08 13:55:13,660 INFO Initializing
219: 2018-10-08 13:55:13,659 INFO Initializing
194: 2018-10-08 13:55:13,662 INFO Initializing
 90: 2018-10-08 13:55:13,661 INFO Initializing
144: 2018-10-08 13:55:13,660 INFO Initializing
 20: 2018-10-08 13:55:13,657 INFO Initializing
  6: 2018-10-08 13:55:13,661 INFO Initializing
129: 2018-10-08 13:55:13,673 INFO Initializing
