*** WARNING: This is an experimental installation of pytorch built specifically for MPI / distributed running ***
25: 2018-10-08 09:10:33,949 INFO Initializing
44: 2018-10-08 09:10:33,947 INFO Initializing
18: 2018-10-08 09:10:33,950 INFO Initializing
19: 2018-10-08 09:10:33,948 INFO Initializing
21: 2018-10-08 09:10:33,950 INFO Initializing
17: 2018-10-08 09:10:33,954 INFO Initializing
22: 2018-10-08 09:10:33,960 INFO Initializing
45: 2018-10-08 09:10:33,959 INFO Initializing
28: 2018-10-08 09:10:33,960 INFO Initializing
60: 2018-10-08 09:10:33,959 INFO Initializing
 0: 2018-10-08 09:10:33,964 INFO Initializing
20: 2018-10-08 09:10:33,963 INFO Initializing
 6: 2018-10-08 09:10:33,964 INFO Initializing
13: 2018-10-08 09:10:33,964 INFO Initializing
53: 2018-10-08 09:10:33,963 INFO Initializing
14: 2018-10-08 09:10:33,963 INFO Initializing
41: 2018-10-08 09:10:33,964 INFO Initializing
50: 2018-10-08 09:10:33,964 INFO Initializing
62: 2018-10-08 09:10:33,967 INFO Initializing
 3: 2018-10-08 09:10:33,965 INFO Initializing
31: 2018-10-08 09:10:33,965 INFO Initializing
58: 2018-10-08 09:10:33,969 INFO Initializing
34: 2018-10-08 09:10:33,969 INFO Initializing
11: 2018-10-08 09:10:33,968 INFO Initializing
39: 2018-10-08 09:10:33,967 INFO Initializing
27: 2018-10-08 09:10:33,970 INFO Initializing
 8: 2018-10-08 09:10:33,970 INFO Initializing
30: 2018-10-08 09:10:33,971 INFO Initializing
40: 2018-10-08 09:10:33,969 INFO Initializing
10: 2018-10-08 09:10:33,972 INFO Initializing
15: 2018-10-08 09:10:33,972 INFO Initializing
59: 2018-10-08 09:10:33,972 INFO Initializing
61: 2018-10-08 09:10:33,971 INFO Initializing
55: 2018-10-08 09:10:33,974 INFO Initializing
49: 2018-10-08 09:10:33,919 INFO Initializing
57: 2018-10-08 09:10:33,974 INFO Initializing
36: 2018-10-08 09:10:33,971 INFO Initializing
12: 2018-10-08 09:10:33,970 INFO Initializing
